No,Issuer,Country,Regulator,Capital Framework,Key Capital Instruments,Coverage Priority (1=first),Employer Conflict Risk,Data Source (IR / Pillar 3),Serves Week(s),Notes
11,Fifth Third Bancorp,United States,Fed (BHC),US Basel III (Cat. IV),Preferred stock; subordinated debt,2,Low,https://ir.53.com/financial-information/regulatory-reports/default.aspx,W6 (primary),Regional-bank CECL provisioning sample
12,Huntington Bancshares Inc.,United States,Fed (BHC),US Basel III (Cat. IV),Preferred stock; subordinated debt,2,Low,https://ir.huntington.com/,W6 (comparator),Regional-bank CECL provisioning sample
13,Regions Financial Corp.,United States,Fed (BHC),US Basel III (Cat. IV),Preferred stock; subordinated debt,2,Low,https://ir.regions.com/financial-information/quarterly-investor-info/default.aspx,W6 (comparator),Regional-bank CECL provisioning sample
14,Truist Financial Corp.,United States,Fed (BHC),US Basel III (Cat. III/IV),Preferred stock; subordinated debt,2,Low,https://ir.truist.com/,W6 (comparator),Confirm the bank-level regulator before writing
15,JPMorgan Chase & Co.,United States,Fed (BHC) / OCC,US Basel III + SCB,Preferred stock; subordinated debt; TLAC senior,2,Low,https://jpmorganchaseco.gcs-web.com/ir/sec-other-filings/basel-pillar-3-us-lcr-disclosures,W7 (primary),SCB against the European MDA buffer is a good comparative angle
16,Bank of America Corp.,United States,Fed (BHC) / OCC,US Basel III + SCB,Preferred stock; subordinated debt; TLAC senior,2,Low,https://investor.bankofamerica.com/regulatory-and-other-filings/basel-pillar-3-disclosures,W7 (comparator),
17,Citigroup Inc.,United States,Fed (BHC) / OCC,US Basel III + SCB,Preferred stock; subordinated debt; TLAC senior,2,Low,https://www.citigroup.com/global/investors,W7 (comparator),Most complex cross-border exposure among US G-SIBs
18,Wells Fargo & Co.,United States,Fed (BHC) / OCC,US Basel III + SCB,Preferred stock; subordinated debt; TLAC senior,2,Low,https://www.wellsfargo.com/about/investor-relations/disclosures/,W7 (comparator),
19,Royal Bank of Canada,Canada,OSFI,CAR Guideline (Basel III),LRCN; preferred shares; NVCC subordinated debt,2,Middle Low,https://www.rbc.com/investor-relations/regulatory-information.html,W8 (primary); W9 (comparator),Interbank relationship with employer likely — confirm before covering
20,Toronto-Dominion Bank,Canada,OSFI,CAR Guideline (Basel III),LRCN; preferred shares; NVCC subordinated debt,2,Middle Low,https://www.td.com/ca/en/about-td/for-investors/investor-relations/regulatory-information/regulatory-disclosures,W8 (primary),Interbank relationship with employer likely — confirm before covering
21,Bank of Montreal,Canada,OSFI,CAR Guideline (Basel III),LRCN; preferred shares; NVCC subordinated debt,2,Middle Low,https://www.bmo.com/main/about-bmo/investor-relations/regulatory-disclosure,W8 (comparator),Interbank relationship with employer likely — confirm before covering
22,Bank of Nova Scotia,Canada,OSFI,CAR Guideline (Basel III),LRCN; preferred shares; NVCC subordinated debt,2,Middle Low,https://www.scotiabank.com/ca/en/about/investors-shareholders/regulatory-disclosures.html,W8 (comparator),Interbank relationship with employer likely — confirm before covering
23,Canadian Imperial Bank of Commerce,Canada,OSFI,CAR Guideline (Basel III),LRCN; preferred shares; NVCC subordinated debt,2,Middle Low,https://www.cibc.com/en/about-cibc/investor-relations/quarterly-results.html,W8 (comparator),Interbank relationship with employer likely — confirm before covering
24,National Bank of Canada,Canada,OSFI,CAR Guideline (Basel III),LRCN; preferred shares; NVCC subordinated debt,2,Middle Low,https://www.nbc.ca/about-us/investors/quarterly-results.html,W8 (comparator),Interbank relationship with employer likely — confirm before covering
25,Manulife Financial Corp.,Canada,OSFI,LICAT,Subordinated debt; LRCN; preferred shares,2,Middle Low,https://www.manulife.com/ca/en/about-us/investors/results-and-reports,W9 (primary),Primary material for the LICAT versus CET1 note
26,Sun Life Financial Inc.,Canada,OSFI,LICAT,Subordinated debt; LRCN; preferred shares,2,Middle Low,https://www.sunlife.com/en/investors/financial-results-and-reports/,W9 (primary),Primary material for the LICAT versus CET1 note
27,"Mizuho Financial Group, Inc.",Japan,JFSA,Basel III + TLAC,AT1 (perpetual subordinated); T2; TLAC senior,3,Low,https://www.mizuhogroup.com/investors/financial-information/fixed-income-information,W10 (primary); W12 (comparator),Japanese TLAC structure is the bridge into the Asia series
28,Standard Chartered PLC,United Kingdom (Asia-weighted),PRA (HKMA for HK operations),UK CRR,AT1; T2,3,Low,https://www.sc.com/en/investors/,W11 (primary); W10 (comparator),Asian exposure under UK supervision — cross-framework subject
29,DBS Group Holdings Ltd,Singapore,MAS,MAS Notice 637 (Basel III),AT1; T2,3,Low,https://www.dbs.com/investors/fixed-income/default.page,W11 (comparator); W12 (comparator),Safe entry point for the Asia series — no group relationship
30,Oversea-Chinese Banking Corp.,Singapore,MAS,MAS Notice 637 (Basel III),AT1; T2,3,Low,https://www.ocbc.com/group/investors/regulatory-disclosure.page,W11 (comparator); W12 (comparator),Same jurisdiction as DBS — comparable pair
